cik,accession_nr,filing_date
1000275,114036124045234,2024-11-05
1000275,114036124045394,2024-11-06
1000275,114036124046848,2024-11-14
1000275,114036125004660,2025-02-14
1000275,114036125019231,2025-05-15
102909,110465924088892,2024-08-13
102909,175272424248565,2024-11-13
102909,175272425022205,2025-02-11
102909,175272425099331,2025-05-09
1067983,95012324005622,2024-05-15
1067983,95012324008740,2024-08-14
1067983,95012324011775,2024-11-14
1067983,95012325002701,2025-02-14
1067983,95012325005701,2025-05-15
1109448,153215524000106,2024-05-14
1109448,153215524000118,2024-08-14
1109448,153215524000162,2024-11-14
1109448,153215525000050,2025-02-12
1109448,153215525000116,2025-05-15
1214717,121471724000006,2024-05-13
1214717,121471724000014,2024-11-12
1214717,121471725000003,2025-02-12
1214717,121471725000006,2025-05-13
1214717,126924124000012,2024-08-09
1330387,95012324005442,2024-05-15
1330387,95012324008540,2024-08-14
1330387,95012324011230,2024-11-13
1330387,95012325001182,2025-02-07
1330387,95012325005695,2025-05-15
1364742,108636424006999,2024-02-13
1364742,108636424007638,2024-05-10
1364742,108636424008417,2024-08-13
1390777,139077724000062,2024-04-25
1390777,139077724000092,2024-07-25
1390777,139077724000137,2024-11-12
1390777,139077725000025,2025-02-04
1390777,139077725000071,2025-04-29
1403438,140343824000002,2024-05-10
1403438,140343824000003,2024-08-07
1403438,140343824000004,2024-11-08
1403438,140343825000002,2025-02-11
1403438,140343825000003,2025-05-07
1407543,121465924008856,2024-05-13
1407543,121465924014128,2024-08-08
1407543,121465924018510,2024-11-07
1407543,121465925002500,2025-02-13
1407543,121465925006567,2025-04-29
1422848,142284824000324,2024-08-13
1422848,142284825000010,2025-02-13
1422848,1728324000030,2024-11-13
1422848,73281224000017,2024-05-14
1422848,73281225000014,2025-05-12
1422849,142284824000326,2024-08-13
1422849,142284825000012,2025-02-13
1422849,1728324000032,2024-11-13
1422849,73281224000019,2024-05-14
1422849,73281225000016,2025-05-12
1423053,95012324005615,2024-05-15
1423053,95012324008735,2024-08-14
1423053,95012324011767,2024-11-14
1423053,95012325002739,2025-02-14
1423053,95012325005687,2025-05-15
1446194,144619424000004,2024-05-07
1446194,144619424000006,2024-08-15
1446194,144619424000008,2024-11-14
1446194,144619425000021,2025-02-14
1446194,144619425000022,2025-05-14
1521019,93041324001787,2024-05-13
1521019,93041324002278,2024-08-09
1521019,93041324003166,2024-11-14
1521019,93041325000580,2025-02-14
1521019,95012324002258,2024-02-14
1562230,142284824000320,2024-08-13
1562230,142284825000006,2025-02-13
1562230,1728324000026,2024-11-13
1562230,73281224000013,2024-05-14
1562230,73281225000010,2025-05-12
1595888,159588824000039,2024-05-16
1595888,159588824000051,2024-08-15
1595888,159588824000063,2024-11-15
1595888,159588825000068,2025-02-14
1595888,159588825000100,2025-05-19
1610520,95012324004518,2024-05-13
1610520,95012324008281,2024-08-14
1610520,95012324011557,2024-11-14
1610520,95012325002409,2025-02-14
1610520,95012325004922,2025-05-13
1871926,93041325001717,2025-05-12
19617,1961724000501,2024-08-12
19617,1961724000652,2024-11-08
19617,1961724000671,2024-12-26
19617,1961724000673,2024-12-26
19617,1961724000675,2024-12-26
19617,1961725000217,2025-02-12
19617,1961725000443,2025-05-12
2012383,106002125000002,2025-02-07
2012383,142645924000006,2024-11-13
2012383,157641925000869,2025-05-02
312069,31206924000039,2024-05-15
312069,31206924000123,2024-08-14
312069,31206924000199,2024-11-19
312069,31206925000112,2025-02-13
312069,31206925000408,2025-05-15
315066,138549524000014,2024-11-13
315066,31506624001900,2024-08-13
315066,31506625000939,2025-02-13
315066,31506625001380,2025-05-12
354204,35420424004308,2024-05-10
354204,35420424004317,2024-08-09
354204,35420424004773,2024-11-07
354204,35420425000528,2025-02-13
354204,35420425000866,2025-05-13
38777,3877724000076,2024-05-13
38777,3877724000117,2024-08-14
38777,3877724000215,2024-11-27
38777,3877725000026,2025-02-12
38777,3877725000090,2025-05-13
70858,110211324000030,2024-11-14
70858,167536524000040,2024-08-14
70858,7085825000101,2025-02-14
70858,7085825000166,2025-03-18
70858,7085825000167,2025-03-18
70858,7085825000229,2025-05-15
720005,72000525000047,2025-04-23
720005,72000525000054,2025-05-13
72971,7297124000139,2024-05-10
72971,7297124000188,2024-08-13
72971,7297124000247,2024-11-13
72971,7297125000059,2025-02-13
72971,7297125000149,2025-05-13
73124,125648424000012,2024-05-14
73124,125648424000020,2024-08-14
73124,125648424000032,2024-11-13
73124,125648425000011,2025-02-14
73124,125648425000024,2025-05-13
764068,76406825000011,2025-02-13
764068,76406825000017,2025-02-28
764068,76406825000019,2025-05-15
764068,76406825000021,2025-05-29
764068,76406825000022,2025-05-29
80255,189761224002014,2024-11-14
80255,8025524000850,2024-05-15
80255,8025524000871,2024-08-14
80255,8025525000216,2025-02-14
80255,8025525000284,2025-05-14
820027,95012324005371,2024-05-15
820027,95012324008550,2024-08-14
820027,95012324011620,2024-11-14
820027,95012325002497,2025-02-14
820027,95012325005098,2025-05-14
861177,86117724000014,2024-05-15
861177,95012324008312,2024-08-14
861177,95012324011473,2024-11-14
861177,95012325002466,2025-02-14
861177,95012325005812,2025-05-19
884546,108514624002332,2024-05-09
884546,175272424173283,2024-08-12
884546,175272424247180,2024-11-12
884546,175272425020817,2025-02-06
884546,175272425024193,2025-02-14
884546,175272425099334,2025-05-09
886982,76999324000301,2024-08-13
886982,76999324000444,2024-11-14
886982,76999325000086,2025-02-11
886982,76999325000340,2025-06-27
895421,89542124000436,2024-08-16
895421,89542124000486,2024-10-17
895421,89542125000378,2025-05-14
895421,89542125000379,2025-05-14
895421,89542125000380,2025-05-15
895421,89542125000381,2025-05-15
902219,90221924000302,2024-05-15
902219,90221924000316,2024-08-14
902219,90221924000498,2024-11-14
902219,90221925000131,2025-02-12
902219,90221925000140,2025-03-24
902219,90221925000242,2025-05-13
912938,91293824000284,2024-05-14
912938,91293824000295,2024-08-09
912938,91293824000298,2024-11-12
912938,91293825000009,2025-02-12
912938,91293825000044,2025-05-02
914208,91420824000311,2024-05-14
914208,91420824000380,2024-08-13
914208,91420824000547,2024-11-12
914208,91420825000103,2025-02-13
914208,91420825000230,2025-05-12
93751,9375124000592,2024-05-15
93751,9375124000681,2024-08-14
93751,9375124000933,2024-11-14
93751,9375125000123,2025-02-14
93751,9375125000351,2025-05-15
948046,94804625000065,2025-05-09
948046,94804625000084,2025-06-02
948046,94804625000086,2025-06-12
948046,94804625000088,2025-06-26
948046,94804625000090,2025-06-30
1009207,110465924061895,2024-05-15
1009207,110465924089589,2024-08-14
1009207,110465924119021,2024-11-14
1009207,110465924119074,2024-11-14
1009207,110465925014028,2025-02-14
1009207,110465925049422,2025-05-15
1018331,101833124000004,2024-04-25
1018331,101833124000007,2024-08-01
1018331,101833124000009,2024-11-06
1018331,101833125000002,2025-02-10
1018331,101833125000004,2025-05-08
1037389,103738924000072,2024-05-13
1037389,103738924000073,2024-08-09
1037389,103738924000091,2024-11-13
1037389,103738925000009,2025-02-13
1037389,103738925000023,2025-05-14
1040188,104018824000040,2024-05-03
1040188,104018824000045,2024-08-05
1040188,104018824000051,2024-11-05
1040188,104018825000021,2025-02-06
1040188,104018825000032,2025-05-02
1046192,104619224000011,2024-05-13
1046192,104619224000016,2024-08-12
1046192,104619224000018,2024-11-13
1046192,104619225000002,2025-02-13
1046192,104619225000007,2025-05-15
1054074,89383824000052,2024-08-13
1054074,89383824000060,2024-08-13
1054074,89383824000078,2024-11-12
1054074,93041325000561,2025-02-13
1054074,93041325001363,2025-04-23
1054074,93041325002351,2025-08-01
1056053,95012324004082,2024-05-08
1056053,95012324007042,2024-08-02
1056053,95012324010203,2024-11-01
1056053,95012325001601,2025-02-11
1056053,95012325004199,2025-05-07
1056053,95012325006623,2025-07-28
1068837,106883725000015,2025-02-07
1068837,106883725000017,2025-02-07
1068837,106883725000019,2025-02-07
1068837,106883725000023,2025-05-02
1068837,106883725000025,2025-05-15
1068837,106883725000030,2025-06-18
1081019,108101924000008,2024-05-16
1081019,108101925000009,2025-03-18
1081019,108101925000010,2025-04-04
1081019,108101925000011,2025-04-08
1081019,108101925000012,2025-05-15
1086619,114036124025883,2024-05-14
1086619,114036124036743,2024-08-12
1086619,114036124046327,2024-11-13
