name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
AGILENT TECHNOLOGIES INC,A,1090872,00846U101,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,81e134d27f5a89e6e88c39798d1497b0
ALCOA CORP,AA,1675149,013872106,NYSE,False,Domestic Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,USD,Pennsylvania; U.S.A,06b2234c0416841fec48880d3a0fa76d
ALTANA AKTIENGESELLSCHAFT,AAAGY,1182802,02143N103,NYSE,True,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,EUR,Jordan,50630842b4586991a40d76c913a7b5de
ARES ACQUISITION CORP,AAC,1829432,G33032106,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,bd600919affcb69160e2a52413bc81eb
ARCADIA FINANCIAL LTD,AAC1,879674,039101100 681593109 681593208,NYSE,True,Domestic Common Stock,Financial Services,Asset Management,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,USD,Minnesota; U.S.A,ccb04fc280f2dc864af66cb132fc40aa
AAC HOLDINGS INC,AACH,1606180,000307108,NYSE,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8093,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,USD,Tennessee; U.S.A,92dbef1cdfe4a4907fc26056d58dfd44
ARES ACQUISITION CORP II,AACT,1853138,G33033104,NYSE,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,65a97ad6bf64c88c3a758efcf08b92ac
AMBASSADOR APARTMENTS INC,AAH,921946,02316A102 74156H109,NYSE,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Illinois; U.S.A,a02b399f8a02d901cdce0f99b849cf03
FOCUS MORNINGSTAR INDUSTRIALS INDEX ETF,FIL,1396287,34416W817,NYSE,True,ETF,,,,,,,,USD,,e5ef9582e7eba535cd7e4267ce1272ed
AQUA ALLIANCE INC,AAI1,823556,009058108 038367108,NYSEMKT,True,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,,Business Services,USD,Massachusetts; U.S.A,bf03cfa3b18ed73729a7466db5a5cf00
ARLINGTON ASSET INVESTMENT CORP,AAIC,1209028,041356205 358433100 358434108 041356106,NYSE,True,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Virginia; U.S.A,a98813a5712b470f825b103b3dcf4017
AA MISSION ACQUISITION CORP,AAM,2012964,G1000R101,NYSE,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Texas; U.S.A,003dbd3e34b155ef46a6a51e2d989993
ALTISOURCE ASSET MANAGEMENT CORP,AAMCF,1555074,02153X108,NYSEMKT,True,Domestic Common Stock,Financial Services,Mortgage Finance,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Virgin Islands; U.S.,a09ff15449ff712154b97de428bf4f79
ACADIAN ASSET MANAGEMENT INC,AAMI,1748824,10948W103 G67506108 G1644T109,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,Massachusetts; U.S.A,7d143f8041887c26ea0e6c25f542eb46
AMR CORP,AAMRQ,6201,001765106,NYSE,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Texas; U.S.A,bacdcd65bbc965bf24440cf6ab802046
AARON'S COMPANY INC,AAN,1821393,00258W108,NYSE,True,Domestic Common Stock,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,,Business Services,USD,Georgia; U.S.A,b3971d92389d07477c50ff15f69392b7
ADVANCE AUTO PARTS INC,AAP,1158449,00751Y106,NYSE,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5531,Retail Trade,Retail-Auto & Home Supply Stores,,Retail,USD,North Carolina; U.S.A,697d8d8819a920e50b6ef65ee9ebf9c0
ACCELERATE ACQUISITION CORP,AAQC,1838883,00439D102,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New Jersey; U.S.A,23ca8299d8dca8924bf2f0cbce5dbdea
AMERICAN ASSETS TRUST INC,AAT,1500217,024013104,NYSE,False,Domestic Common Stock,Real Estate,REIT - Diversified,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,4ce95330e7afca97522ea6983455aa57
ALMADEN MINERALS LTD,AAUAF,1015647,020283305 020283107,NYSEMKT,True,ADR Common Stock,Basic Materials,Gold,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,99e756f7381b2340e49212221fca0d58
ADVANTAGE OIL & GAS LTD,AAVVF,1468079,00765F101 00762L101,NYSE,True,Canadian Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,CAD,Alberta; Canada,7aca922ad85c39d66c222c18f0aa92a2
ALLIANCEBERNSTEIN HOLDING LP,AB,825313,01881G106 01855A101 018548107,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,New York; U.S.A,e497f2ff92c54585a0c10f33c786ba5e
ABB LTD,ABBNY,1091587,000375204,NYSE,True,ADR Common Stock,Industrials,Electrical Equipment & Parts,3613,Manufacturing,Switchgear & Switchboard Apparatus,,Electrical Equipment,USD,Switzerland,b2b4e38bf7e06dace7db8a0d8ce31611
ABBVIE INC,ABBV,1551152,00287Y109,NYSE,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,7f3378559e802bc46208d5acc225ea80
AMERIS BANCORP,ABCB,351569,03076K108 000400101,NYSE,False,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Georgia; U.S.A,ccb4c840253443a32d3e21b973341c0c
AUTOBOND ACCEPTANCE CORP,ABD1,1014747,052918109,NYSEMKT,True,Domestic Common Stock,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,,Banking,USD,Texas; U.S.A,aaaccfbbadee20b93e16ef6536770835
AMBEV SA,ABEV,1565025,02319V103 20441W104,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2080,Manufacturing,Beverages,,Beer & Liquor,BRL,Brazil,b4a8bc832dadbc457dee0e8fe1fb9059
AIRBORNE INC,ABF,3000,009266107 009269101,NYSE,True,Domestic Common Stock,Industrials,Integrated Freight & Logistics,4513,Transportation Communications Electric Gas And Sanitary Service,Air Courier Services,,Transportation,USD,Washington; U.S.A,aa3fda03bc963e5fe19b4a67e6f55c94
ASBURY AUTOMOTIVE GROUP INC,ABG,1144980,043436104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,,Retail,USD,Georgia; U.S.A,20c8203e61b120943c047e9a1590d782
AMERICAN BANK NOTE HOLOGRAPHICS INC,ABHH,1052489,024377103 024490104,NYSE,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,,Business Services,USD,New York; U.S.A,256b9700a70e1ddbdb662f6a78d877d2
APPLIED BIOSYSTEMS INC,ABI1,77551,038149100 038020103 714041100 69332S201 69332S102,NYSE,True,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Connecticut; U.S.A,915e9333d0fbdeb968a5ac2b575cf5cf
AMERICAN BANKERS INSURANCE GROUP INC,ABI2,350571,024456105,NYSE,True,Domestic Common Stock,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,Florida; U.S.A,2b841613dfd578a8d62c2e757b404936
ABM INDUSTRIES INC,ABM,771497,000957100,NYSE,False,Domestic Common Stock,Industrials,Specialty Business Services,7340,Services,Services-To Dwellings & Other Buildings,,Business Services,USD,New York; U.S.A,57301010caaf0278dd0f0ec4c7c9eeba
AMERICAN BANKNOTE CORP,ABNTQ,51124,024490302,NYSE,True,Domestic Common Stock,Industrials,Specialty Business Services,2750,Manufacturing,Commercial Printing,,Business Services,USD,New York; U.S.A,e0cd97d48a2149e2f2609f8124127ce6
AMERICAN BUSINESS PRODUCTS INC,ABP1,4672,024763104,NYSE,True,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),,Business Supplies,USD,Georgia; U.S.A,9738201bc5880a235600ac9f2dde36bd
ARBOR REALTY TRUST INC,ABR,1253986,038923108,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,cdc173f7fc10fd3382d2e9ec919c325f
ALBERTSONS INC,ABS,3333,013104104,NYSE,True,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,Idaho; U.S.A,af208dfe34dc1ee57be074ad2f89721b
ABBOTT LABORATORIES,ABT,1800,002824100,NYSE,False,Domestic Common Stock,Healthcare,Medical Devices,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,1f97b5570c1cfd7009b9f8d5825d8f28
ABOVENET INC,ABVT,1043533,00374N107,NYSE,True,Domestic Common Stock,Communication Services,Telecom Services,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,New York; U.S.A,bb9aa0e7cd02358dc382829fabe24e76
BOWATER INC,ABWTQ,743368,102183100 003687100 102183407,NYSE,True,Domestic Common Stock,Basic Materials,Paper & Paper Products,2621,Manufacturing,Paper Mills,,Business Supplies,USD,South Carolina; U.S.A,917626212856012c2c72fd27fc59dc77
ABITIBI CONSOLIDATED INC,ABY1,1039778,003924107,NYSE,True,ADR Common Stock,Basic Materials,Paper & Paper Products,2621,Manufacturing,Paper Mills,,Business Supplies,CAD,Canada,b7a914adf1251eb03b7d44feba982be1
ASSOCIATED CAPITAL GROUP INC,AC,1642122,045528106,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,New York; U.S.A,7b6d9dcfceb4ef1e65d4d2372ed68627
ARCOSA INC,ACA,1739445,039653100,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,3440,Manufacturing,Fabricated Structural Metal Products,,Construction Materials,USD,Texas; U.S.A,0b54787d5f46ef98def52fb80bcd452b
ATHENA CONSUMER ACQUISITION CORP,ACAQ,1869141,04684M106,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,f4b38325aacfc7dbea5e33dfabb98dde
AMERICAN CAMPUS COMMUNITIES INC,ACC,1283630,024835100,NYSE,True,Domestic Common Stock,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Texas; U.S.A,19b118320ae6f2860a9d58bc0fba5f2a
ACCO BRANDS CORP,ACCO,712034,00081T108,NYSE,False,Domestic Common Stock,Industrials,Business Equipment & Supplies,2780,Manufacturing,Blankbooks Looseleaf Binders & Bookbindg & Relatd Work,,Printing and Publishing,USD,Illinois; U.S.A,55ee83c9ed419991b8a49f6cadd231c0
ACCESS NEWSWIRE INC,ACCS,843006,46520M204 255908402 255908105 46520M105,NYSEMKT,False,Domestic Common Stock,Technology,Software - Application,2750,Manufacturing,Commercial Printing,,Business Services,USD,North Carolina; U.S.A,da9dbf181bea63a20afd01da2ccbc081
ASCENDANT DIGITAL ACQUISITION CORP III,ACDI,1850316,G05157105,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,532120517cb3c5b73d6b487adae280f1
ACCEL ENTERTAINMENT INC,ACEL,1698991,00436Q106 G89827128 G89827102,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Gambling,7900,Services,Services-Amusement & Recreation Services,,Entertainment,USD,Illinois; U.S.A,f70ac733327f1c6e9cc96f63bea4d435
ALUMINUM CORP OF CHINA LTD,ACHHY,1161611,022276109,NYSE,True,ADR Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,CNY,China,c4b54ebde3651782162cc90a73f7ef45
ARCHER AVIATION INC,ACHR,1824502,03945R102 049284102,NYSE,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,,Aircraft,USD,California; U.S.A,f870775bd8175a71e21376e78192294c
ALBERTSONS COMPANIES INC,ACI,1646972,013091103,NYSE,False,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,Idaho; U.S.A,f4cc22b9e2eb4a8bc9da091fa5a010fc
ATLAS CREST INVESTMENT CORP II,ACII,1838614,049287105,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,c57939ed3e2027a8110f21c80d7d13f4
ARCH COAL INC,ACIIQ,1037676,039380100 039380308,NYSE,True,Domestic Common Stock,Basic Materials,Thermal Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,,Coal,USD,Missouri; U.S.A,f9b71d6666cd369ef04ba180f27e8aba
ARMSTRONG HOLDINGS INC,ACKHQ,1109304,042384107 042476101,NYSE,True,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Pennsylvania; U.S.A,2a41ab9e5e2a4b2c8d06c975db459818
ALCON INC,ACL,1167379,H01301102,NYSE,True,ADR Common Stock,Healthcare,Medical Instruments & Supplies,3851,Manufacturing,Ophthalmic Goods,,Medical Equipment,USD,Texas; U.S.A,501cea1cc14e7fa70bdad2b5cc896d6c
AECOM,ACM,868857,00766T100,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,,Business Services,USD,California; U.S.A,0e7c5e88fe66566c5237eadc2d1c7636
ACCENTURE PLC,ACN,1467373,G1151C101 G1150G111,NYSE,False,Domestic Common Stock,Technology,Information Technology Services,7389,Services,Services-Business Services Nec,,Business Services,USD,Ireland,49adb1202854fc505ed182baf4e92013
ACUSON CORP,ACN1,717014,005113105,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Devices,3845,Manufacturing,Electromedical & Electrotherapeutic Apparatus,,Medical Equipment,USD,California; U.S.A,b487add7e194363a44c8e62ebd96b714
AMERICAN COMMUNITY NEWSPAPERS INC,ACNI,1321544,02520T103 22274N102 22274N201 02520T202,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,,Printing and Publishing,USD,Texas; U.S.A,c1657a543fb8d0a7cde2f9390f1257b1
AMCOL INTERNATIONAL CORP,ACO,813621,02341W103,NYSE,True,Domestic Common Stock,Basic Materials,Building Materials,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,USD,Illinois; U.S.A,dcc383aff5af5ac5b704c52940458e10
ACRES COMMERCIAL REALTY CORP,ACR,1332551,76120W302 30068N105 76120W708 00489Q102,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,2a108d1676bef85a7c2e8c7d952a15c2
AMERICAN RETIREMENT CORP,ACR1,787784,028913101,NYSE,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8051,Services,Services-Skilled Nursing Care Facilities,,Healthcare,USD,Tennessee; U.S.A,7abaa1ac919be356cf43f1e561a61134
ARES COMMERCIAL REAL ESTATE CORP,ACRE,1529377,04013V108,NYSE,False,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,304b621ee3af9ad42bde95cec3edbd9f
ACROPOLIS INFRASTRUCTURE ACQUISITION CORP,ACRO,1847891,005029103,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,997b55224fedd6106e9c3d0cd8daa23a
AFFILIATED COMPUTER SERVICES INC,ACS,2135,008190100,NYSE,True,Domestic Common Stock,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,Texas; U.S.A,5529a35f7fd6b48dfa77acdc2b799412
ACTIVE NETWORK INC,ACTV2,1163932,00506D100,NYSE,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,California; U.S.A,d9070ae99c41999fe2b880ad1e8c6cc3
ACME UNITED CORP,ACU,2098,004816104,NYSEMKT,False,Domestic Common Stock,Consumer Defensive,Household & Personal Products,3420,Manufacturing,Cutlery Handtools & General Hardware,,Construction Materials,USD,Connecticut; U.S.A,6e86dffebbb0a62b68d6f2333edae644
