ticker,year,quarter,outstanding_shares,quarter_end_price
A,2024,Q1,293055284,145.51
A,2024,Q2,291760872,129.63
A,2024,Q3,287327671,148.48
A,2024,Q4,285595302,134.34
A,2025,Q1,285102717,116.98
A,2025,Q2,284064728,118.01
AA,2024,Q1,179559688,33.79
AA,2024,Q2,258340140,39.78
AA,2024,Q3,258354828,38.58
AA,2024,Q4,258884337,37.78
AA,2025,Q1,258902338,30.5
AA,2025,Q2,258914723,29.51
AACBU,2025,Q1,23650000,10.11
AACT,2024,Q1,50000000,
AACT,2024,Q2,50000000,10.67
AACT,2024,Q3,50000000,10.83
AACT,2024,Q4,50000000,10.98
AACT,2025,Q1,61859712,11.15
AAL,2024,Q1,656090344,15.35
AAL,2024,Q2,656703913,11.33
AAL,2024,Q3,657130996,11.24
AAL,2024,Q4,657575582,17.43
AAL,2025,Q1,659512341,10.55
AAL,2025,Q2,659828821,11.22
AAM,2024,Q1,8625000,
AAM,2024,Q2,43974000,
AAM,2024,Q3,43974000,10.02
AAM,2024,Q4,35349000,10.1
AAM,2025,Q1,43974000,10.43
AAME,2024,Q2,20399758,1.69
AAME,2024,Q3,20399758,1.7
AAME,2024,Q4,20399758,1.5
AAME,2025,Q1,20397228,1.7
AAMI,2024,Q1,38000000,22.84
AAMI,2024,Q2,37100000,22.17
AAMI,2024,Q3,37300000,25.4
AAMI,2024,Q4,37500000,26.34
AAMI,2025,Q1,36700000,25.86
AAOI,2024,Q2,40895715,8.29
AAOI,2024,Q3,45078203,14.31
AAOI,2024,Q4,49651482,36.86
AAOI,2025,Q1,55544354,15.35
AAON,2024,Q1,82209281,88.1
AAON,2024,Q2,81013148,87.24
AAON,2024,Q3,81279625,107.84
AAON,2024,Q4,81597289,117.68
AAON,2025,Q1,81366138,78.13
AAP,2024,Q2,59622297,63.33
AAP,2024,Q3,59674284,38.99
AAP,2024,Q4,59734513,47.29
AAP,2025,Q1,59833100,39.21
AAP,2025,Q2,59925637,46.49
AAPL,2024,Q1,15334082000,171.48
AAPL,2024,Q2,15204137000,210.62
AAPL,2024,Q3,15116786000,233.0
AAPL,2024,Q4,15022073000,250.42
AAPL,2025,Q1,14935826000,222.13
AARD,2025,Q1,21688172,7.51
AAT,2024,Q2,60901583,22.38
AAT,2024,Q3,60901583,26.72
AAT,2024,Q4,61138238,26.26
AAT,2025,Q1,61134730,20.14
AB,2024,Q2,114619452,33.79
AB,2024,Q3,113435357,34.89
AB,2024,Q4,110530329,37.09
AB,2025,Q1,110699699,38.31
AB,2025,Q2,110537295,40.83
