filer_name,cik,accession_nr,filing_date
140_Summer_Partners_Lp,1820788,91957424003010,2024-05-14
140_Summer_Partners_Lp,1820788,91957424004574,2024-08-13
140_Summer_Partners_Lp,1820788,91957424006425,2024-11-13
140_Summer_Partners_Lp,1820788,91957425001203,2025-02-13
140_Summer_Partners_Lp,1820788,91957425003067,2025-05-14
140_Summer_Partners_Lp,1820788,91957425004645,2025-08-13
140_Summer_Partners_Lp,1820788,91957425006786,2025-11-13
140_Summer_Partners_Lp,1820788,91957426001009,2026-02-13
140_Summer_Partners_Lp,1820788,91957426003018,2026-05-14
1607_Capital_Partners_Llc,1436866,117266124002178,2024-05-13
1607_Capital_Partners_Llc,1436866,117266124003150,2024-08-08
1607_Capital_Partners_Llc,1436866,117266124005162,2024-11-14
1607_Capital_Partners_Llc,1436866,117266125000817,2025-02-13
1607_Capital_Partners_Llc,1436866,117266125002385,2025-05-15
1607_Capital_Partners_Llc,1436866,117266125003483,2025-08-14
1607_Capital_Partners_Llc,1436866,117266125005029,2025-11-14
1607_Capital_Partners_Llc,1436866,117266126001096,2026-02-17
1607_Capital_Partners_Llc,1436866,117266126002247,2026-05-15
1832_Asset_Management_Lp,944388,106299324010191,2024-05-14
1832_Asset_Management_Lp,944388,106299324014981,2024-08-13
1832_Asset_Management_Lp,944388,106299324018988,2024-11-13
1832_Asset_Management_Lp,944388,106299325002504,2025-02-14
1832_Asset_Management_Lp,944388,106299325009332,2025-05-14
1832_Asset_Management_Lp,944388,106299325014282,2025-08-13
1832_Asset_Management_Lp,944388,106299325016818,2025-11-14
1832_Asset_Management_Lp,944388,106299326000901,2026-02-13
1832_Asset_Management_Lp,944388,106299326002620,2026-05-14
1900_Wealth_Management_Llc,1791996,179199624000004,2024-04-24
1900_Wealth_Management_Llc,1791996,179199624000005,2024-07-26
1900_Wealth_Management_Llc,1791996,179199624000007,2024-11-14
1900_Wealth_Management_Llc,1791996,179199625000001,2025-01-27
1900_Wealth_Management_Llc,1791996,179199625000005,2025-04-17
1900_Wealth_Management_Llc,1791996,179199625000006,2025-07-21
1900_Wealth_Management_Llc,1791996,179199625000007,2025-10-17
1900_Wealth_Management_Llc,1791996,179199626000001,2026-01-20
1900_Wealth_Management_Llc,1791996,179199626000004,2026-04-17
1st_Source_Bank,356264,35626424000004,2024-05-09
1st_Source_Bank,356264,35626424000006,2024-08-08
1st_Source_Bank,356264,35626424000020,2024-12-11
1st_Source_Bank,356264,35626425000003,2025-02-10
1st_Source_Bank,356264,35626425000005,2025-05-05
1st_Source_Bank,356264,35626425000012,2025-08-07
1st_Source_Bank,356264,35626425000016,2025-11-12
1st_Source_Bank,356264,35626426000002,2026-02-05
