name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaIndustry,currency,location,id
ADMIRALTY BANCORP INC,AAAB,1066808,007231103,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,Banking,USD,Florida; U.S.A,b4c4c3a1fa54a22d51e2e0b75ee5d2fe
ADVANCED ACCELERATOR APPLICATIONS SA,AAAP,1611787,00790T100,NASDAQ,True,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,EUR,France,b46a75133857d938bc679c68bf0fa688
ACCESS ANYTIME BANCORP INC,AABC,1024015,00431F105,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,Banking,USD,New Mexico; U.S.A,7d0dd7dbe95f327ef8b1f4b8b92425d9
ARTIUS II ACQUISITION INC,AACB,2034334,G0509J115,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,a6469b5d244b4d889963f90ff4bf6f06
ALLIANCE ATLANTIS COMMUNICATIONS INC,AACB1,1005887,01853E204 01855R302,NASDAQ,True,Canadian Common Stock,Communication Services,Entertainment,7812,Services,Services-Motion Picture & Video Tape Production,Entertainment,CAD,Ontario; Canada,ce500efa2fae076d155af760bef72c8e
ASSET ACCEPTANCE CAPITAL CORP,AACC,1264707,04543P100,NASDAQ,True,Domestic Common Stock,Financial Services,Credit Services,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,USD,Michigan; U.S.A,8dbd3475a68f55b1322aeae238db6b35
ACE CASH EXPRESS INC,AACE,849116,004403101,NASDAQ,True,Domestic Common Stock,Financial Services,Credit Services,6099,Finance Insurance And Real Estate,Functions Related To Depository Banking Nec,Banking,USD,Texas; U.S.A,93a6849197e648ba710d3b6d633ded4d
ATA CREATIVITY GLOBAL,AACG,1420529,00211V106,NASDAQ,False,ADR Common Stock,Consumer Defensive,Education & Training Services,8200,Services,Services-Educational Services,Personal Services,CNY,China,f58c238c4d0b0a62f1dad2f609222605
ARMADA ACQUISITION CORP III,AACI,2092897,G0R38M101,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,,7f6bdffed4f50057094b6b6f35ebcbfa
ABONY ACQUISITION CORP I,AACO,2099906,G00582109,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,Texas; U.S.A,832abecf118dbd8cf559b0024b8c6562
APOGEE ACQUISITION CORP,AACP,2102123,,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,USD,Wyoming; U.S.A,f275f5bacb4f3963111bd2f4dff5a098
AUSTRALIA ACQUISITION CORP,AACPF,1499593,G06368123 G06368107,NASDAQ,True,ADR Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,Australia,82db13b963ef15a55c6117111ee45d55
ADVANTAGE BANCORP INC,AADV,881892,00755C100,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,USD,Wisconsin; U.S.A,b885eb0c30dcb0dc5c02dd5842328c4c
ELKHORN COMMODITY ROTATION STRATEGY ETF,DWAC1,1595106,287711816,NASDAQ,True,ETF,,,,,,,USD,,c583d9ecbbf7c5c7806defc9c2f40c11
AFRICAN AGRICULTURE HOLDINGS INC,AAGR,1848898,G87076108 00792J100,NASDAQ,True,Domestic Common Stock Primary Class,Consumer Defensive,Farm Products,100,Agriculture Forestry And Fishing,Agricultural Production-Crops,Agriculture,USD,New York; U.S.A,879e8dc4e6af4561bca5490cdea6a882
AIRTRAN HOLDINGS INC,AAI,948846,00949P108 919906107,NASDAQ,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,USD,Florida; U.S.A,be79caab94c01b1c4257c8664ba2fe48
ALABAMA AIRCRAFT INDUSTRIES INC,AAIIQ,771729,01023E100 706444106 740327200 740327101,NASDAQ,True,Domestic Common Stock,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,Aircraft,USD,Alabama; U.S.A,5bfc5b2afe60095fcc7474513e75e9ac
AAIPHARMA INC,AAIIQ1,1013243,00252W104 037939105,NASDAQ,True,Domestic Common Stock,Healthcare,Diagnostics & Research,8734,Services,Services-Testing Laboratories,Business Services,USD,North Carolina; U.S.A,985d7046f245db7199791ace89190488
AMERICAN AIRLINES GROUP INC,AAL,6201,02376R102,NASDAQ,False,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,USD,Texas; U.S.A,c2ae3b198be625aaa506c5c5945c89bf
ATLANTIC AMERICAN CORP,AAME,8177,048209100,NASDAQ,False,Domestic Common Stock,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,Insurance,USD,Georgia; U.S.A,2d0565fd7f5319bfad890132a85afd85
ABIGAIL ADAMS NATIONAL BANCORP INC,AANB,356809,003390101,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,USD,District Of Columbia; U.S.A,cbb4868927dfc7bbd65444012f68b07e
APPLIED OPTOELECTRONICS INC,AAOI,1158114,03823U102,NASDAQ,False,Domestic Common Stock,Technology,Communication Equipment,3674,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,USD,Texas; U.S.A,262fca0ed98930efca34dd9f14c8a154
AAON INC,AAON,824142,000360206,NASDAQ,False,Domestic Common Stock,Basic Materials,Building Products & Equipment,3585,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,Machinery,USD,Oklahoma; U.S.A,52f358091c896eb25e350b66f8e87bc9
ATLANTIC ALLIANCE PARTNERSHIP CORP,AAPC,1630940,G04897107,NASDAQ,True,Domestic Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,Entertainment,USD,New York; U.S.A,fe707a0bc7ac66db20a84fe53e36b2d8
INVESCO DWA NASDAQ MOMENTUM ETF,DWAQ,1209466,73935X203 46137V829,NASDAQ,True,ETF,,,,,,,USD,,2450a67e038beee1f50f8408e0da1847
ASCENTAGE PHARMA GROUP INTERNATIONAL,AAPG,2023311,04390B105,NASDAQ,False,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,CNY,China,566c5116f07178656df35156b61a2ec4
APPLE INC,AAPL,320193,037833100,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,3571,Manufacturing,Electronic Computers,Computers,USD,California; U.S.A,442d0fd86e9d78fe79d539ee1b7fc0e4
AARDVARK THERAPEUTICS INC,AARD,1774857,002942100,NASDAQ,False,Domestic Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,USD,California; U.S.A,2703b9f172a26dfa1d7cb34f4d25490f
AUTOSCOPE TECHNOLOGIES CORP,AATC,943034,45244C104 053306106,NASDAQ,True,Domestic Common Stock,Technology,Scientific & Technical Instruments,3829,Manufacturing,Measuring & Controlling Devices Nec,Measuring and Control Equipment,USD,Minnesota; U.S.A,9837d47b11549be50605a9208c4536a9
ADVANCED ANALOGIC TECHNOLOGIES INC,AATI,1104042,00752J108,NASDAQ,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,Electronic Equipment,USD,California; U.S.A,4691c029b66b51424206f894d265a610
ANALYSIS & TECHNOLOGY INC,AATI1,310876,032672107,NASDAQ,True,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,Business Services,USD,Connecticut; U.S.A,9db5cf94e9681b31b228dcb7953446a0
AAVID THERMAL TECHNOLOGIES INC,AATT,1003481,002539104,NASDAQ,True,Domestic Common Stock,Technology,Electronic Components,3679,Manufacturing,Electronic Components Nec,Electronic Equipment,USD,New Hampshire; U.S.A,851a6c224ddc18050785bf45cbfbe335
ATLAS AIR WORLDWIDE HOLDINGS INC,AAWHQ,1135185,049164106,NASDAQ,True,Domestic Common Stock,Industrials,Airports & Air Services,4522,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,USD,New York; U.S.A,8b4330bd242dca049a8ad87d78be407a
ATLAS AIR WORLDWIDE HOLDINGS INC,AAWW,1135185,049164205,NASDAQ,True,Domestic Common Stock,Industrials,Airports & Air Services,4522,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,Transportation,USD,New York; U.S.A,17cd5f5f558d3a48cb737ca6e36ece12
ABACAN RESOURCE CORP,ABACQ,1001084,002919108,NASDAQ,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,USD,Alberta; Canada,7f7154a02b82e5b0b1bfa96eeab5628f
AMERICAN BANCSHARES INC,ABAN,1004528,024086100,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,Banking,USD,Florida; U.S.A,27931142685d806b9c5903f1a5f25f80
AMERICAN BATTERY TECHNOLOGY CO,ABAT,1576873,02451V309 02451V101 687157107,NASDAQ,False,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,Non-Metallic and Industrial Metal Mining,USD,Nevada; U.S.A,6f409a09d371a1308a37bf3b2de14bd6
ADVANCED BATTERY TECHNOLOGIES INC,ABAT1,745651,00752H102,NASDAQ,True,Domestic Common Stock,Industrials,Electrical Equipment & Parts,3690,Manufacturing,Miscellaneous Electrical Machinery Equipment & Supplies,Electrical Equipment,USD,New York; U.S.A,73d3b76abaa0d730813b6c7bb3cdd34d
BUCA INC,BUCA,1046501,117769109,NASDAQ,True,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,Restaraunts Hotels Motels,USD,Minnesota; U.S.A,0f62a523a3d10027f808faee527eedab
ABAXIS INC,ABAX,881890,002567105,NASDAQ,True,Domestic Common Stock,Healthcare,Diagnostics & Research,3829,Manufacturing,Measuring & Controlling Devices Nec,Measuring and Control Equipment,USD,California; U.S.A,8f7931b1d08be99bc2245833e74e1c3e
ABINGTON BANCORP INC,ABBC,1397533,00350L109 00350P100 00350R106,NASDAQ,True,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,Banking,USD,Pennsylvania; U.S.A,c122ff6dc0aa7cdd03f3e68361d43123
