name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaIndustry,currency,location,id,norm_name
AGILENT TECHNOLOGIES INC,A,1090872,00846U101 00846U901 00846U951 00846u101,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,USD,California; U.S.A,f1dc72cd352e27a7b302b36055cf729c,AGILENTTECHNOLOGIESINC
ALCOA CORP,AA,1675149,013872106 013872906 013872956,NYSE,False,Domestic Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,Steel Works Etc,USD,Pennsylvania; U.S.A,1168dec9894d3eb6a59b6ed9d32a4597,ALCOACORP
ALTANA AKTIENGESELLSCHAFT,AAAGY,1182802,02143N103,NYSE,True,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,EUR,Jordan,4e79051aa7be276f7e80c1951e7db6dc,ALTANAAKTIENGESELLSCHAFT
ARES ACQUISITION CORP,AAC,1829432,G33032106,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,83eb19210cbe9dd1413e5102e51e44a5,ARESACQUISITIONCORP
ARCADIA FINANCIAL LTD,AAC1,879674,039101100 681593109 681593208,NYSE,True,Domestic Common Stock,Financial Services,Credit Services,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,Banking,USD,Minnesota; U.S.A,1de9d411d8367cef53a13f7e7a962403,ARCADIAFINANCIALLTD
AAC HOLDINGS INC,AACH,1606180,000307108,NYSE,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8093,Services,Services-Specialty Outpatient Facilities Nec,Healthcare,USD,Tennessee; U.S.A,8a5db6ce1c3b616186ea83e63a6aa70b,AACHOLDINGSINC
APPLIED AEROSPACE & DEFENSE INC,AADX,2118195,,NYSE,False,Domestic Common Stock,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,USD,Alabama; U.S.A,ad2d0a324ee2ce9629ed51182d8110fd,APPLIEDAEROSPACEDEFENSEINC
AMBASSADOR APARTMENTS INC,AAH,921946,02316A102 74156H109,NYSE,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,Illinois; U.S.A,b3cf04bf150acf46638e7f23c1e99b62,AMBASSADORAPARTMENTSINC
AQUA ALLIANCE INC,AAI1,823556,009058108 038367108,NYSEMKT,True,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,Business Services,USD,Massachusetts; U.S.A,2f6637a87328c8f620f98dc7ec8ecab9,AQUAALLIANCEINC
ARLINGTON ASSET INVESTMENT CORP,AAIC,1209028,041356205 358433100 358434108 041356106,NYSE,True,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,Virginia; U.S.A,69bb054f57210035467bc0a0c4bd9ee4,ARLINGTONASSETINVESTMENTCORP
AA MISSION ACQUISITION CORP,AAM,2012964,G1000R101,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,Texas; U.S.A,ece647ea0771ca677ecc3e4a39d0154c,AAMISSIONACQUISITIONCORP
ALTISOURCE ASSET MANAGEMENT CORP,AAMCF,1555074,02153X108,NYSEMKT,True,Domestic Common Stock,Financial Services,Mortgage Finance,6500,Finance Insurance And Real Estate,Real Estate,Real Estate,USD,Virgin Islands; U.S.,593f27515344c8c049c9a688ae6a319e,ALTISOURCEASSETMANAGEMENTCORP
ACADIAN ASSET MANAGEMENT INC,AAMI,1748824,10948W103 10948W953 G1644T109 G67506108,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,Trading,USD,Massachusetts; U.S.A,74c67323f7086a22c830d21ab696a570,ACADIANASSETMANAGEMENTINC
AMR CORP,AAMRQ,6201,001765106,NYSE,True,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,Transportation,USD,Texas; U.S.A,2f8755cdbf6d6365e5d834d23bbeecf8,AMRCORP
AARON'S COMPANY INC,AAN,1821393,00258W108,NYSE,True,Domestic Common Stock,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,Business Services,USD,Georgia; U.S.A,4207148b34a76f282498e4ff1fa8ef72,AARONSCOMPANYINC
ADVANCE AUTO PARTS INC,AAP,1158449,00751Y106 00751Y906 00751Y956,NYSE,False,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5531,Retail Trade,Retail-Auto & Home Supply Stores,Retail,USD,North Carolina; U.S.A,63c77623c6b5b252c67c28c260ef4fe6,ADVANCEAUTOPARTSINC
ACCELERATE ACQUISITION CORP,AAQC,1838883,00439D102,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New Jersey; U.S.A,780a640559ebf93a50c549981cc2b916,ACCELERATEACQUISITIONCORP
AMERICAN ASSETS TRUST INC,AAT,1500217,024013104,NYSE,False,Domestic Common Stock,Real Estate,REIT - Diversified,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,California; U.S.A,2fad3ca17ff539ced16514f8f1ca5f92,AMERICANASSETSTRUSTINC
ALMADEN MINERALS LTD,AAUAF,1015647,020283305 020283107,NYSEMKT,True,ADR Common Stock,Basic Materials,Gold,1000,Mining,Metal Mining,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,7f78abea760f5938348e02e21c45e662,ALMADENMINERALSLTD
ALLIED GOLD CORP,AAUC,1993344,01921D204,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,Precious Metals,USD,Ontario; Canada,432b24185fcda44a076515544e839389,ALLIEDGOLDCORP
ADVANTAGE OIL & GAS LTD,AAVVF,1468079,00765F101 00762L101,NYSE,True,Canadian Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,Petroleum and Natural Gas,CAD,Alberta; Canada,3dd17d0def2eb94cfa028a9a3469b638,ADVANTAGEOILGASLTD
ALLIANCEBERNSTEIN HOLDING LP,AB,825313,018548107 01855A101 01881G106 01881g106,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,Trading,USD,New York; U.S.A,26ec10a3060a055b7853ae49adae7577,ALLIANCEBERNSTEINHOLDINGLP
ABB LTD,ABBNY,1091587,000375204,NYSE,True,ADR Common Stock,Industrials,Electrical Equipment & Parts,3613,Manufacturing,Switchgear & Switchboard Apparatus,Electrical Equipment,USD,Switzerland,e31a279c401f42904a11b42eeb056c4a,ABBLTD
ABBVIE INC,ABBV,1551152,00287Y109 00287Y909 00287Y959 00287y109,NYSE,False,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,USD,Illinois; U.S.A,7c6fc8e94fd17460d1232af2979b7cf7,ABBVIEINC
AMERIS BANCORP,ABCB,351569,03076K108 000400101,NYSE,False,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,Banking,USD,Georgia; U.S.A,0d9205370c171f4d6d623561680cde09,AMERISBANCORP
AUTOBOND ACCEPTANCE CORP,ABD1,1014747,052918109,NYSEMKT,True,Domestic Common Stock,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,Banking,USD,Texas; U.S.A,094e4b26a748575cf9ae4110da4a2310,AUTOBONDACCEPTANCECORP
AMBEV SA,ABEV,1565025,00BG7ZWY7 02319V103 20441W104,NYSE,False,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2080,Manufacturing,Beverages,Beer & Liquor,BRL,Brazil,3f7b3efb8e9fb1a969eff474fb2f69f6,AMBEVSA
AIRBORNE INC,ABF,3000,009266107 009269101,NYSE,True,Domestic Common Stock,Industrials,Integrated Freight & Logistics,4513,Transportation Communications Electric Gas And Sanitary Service,Air Courier Services,Transportation,USD,Washington; U.S.A,03e8d76fc3ff27bc221ab9008d25ffbc,AIRBORNEINC
ASBURY AUTOMOTIVE GROUP INC,ABG,1144980,043436104 043436904,NYSE,False,Domestic Common Stock,Consumer Cyclical,Auto & Truck Dealerships,5500,Retail Trade,Retail-Auto Dealers & Gasoline Stations,Retail,USD,Georgia; U.S.A,a27ae8c7d89b0b9c7879887427a9db13,ASBURYAUTOMOTIVEGROUPINC
AMERICAN BANK NOTE HOLOGRAPHICS INC,ABHH,1052489,024377103 024490104,NYSE,True,Domestic Common Stock,Technology,Software - Application,7389,Services,Services-Business Services Nec,Business Services,USD,New York; U.S.A,d9040d97e189235154b6ff1acc3b0f7e,AMERICANBANKNOTEHOLOGRAPHICSINC
APPLIED BIOSYSTEMS INC,ABI1,77551,038149100 038020103 714041100 69332S201 69332S102,NYSE,True,Domestic Common Stock,Healthcare,Medical Devices,3826,Manufacturing,Laboratory Analytical Instruments,Measuring and Control Equipment,USD,Connecticut; U.S.A,e1e3e92cf3c41db1b1df05ba0ca1afb8,APPLIEDBIOSYSTEMSINC
AMERICAN BANKERS INSURANCE GROUP INC,ABI2,350571,024456105,NYSE,True,Domestic Common Stock,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,Insurance,USD,Florida; U.S.A,0929ddd46feebb3da561cc2093663427,AMERICANBANKERSINSURANCEGROUPINC
ABM INDUSTRIES INC,ABM,771497,000957100,NYSE,False,Domestic Common Stock,Industrials,Specialty Business Services,7340,Services,Services-To Dwellings & Other Buildings,Business Services,USD,New York; U.S.A,8ba7261b1241d245e2c582ad859bd728,ABMINDUSTRIESINC
AMERICAN BANKNOTE CORP,ABNTQ,51124,024490302,NYSE,True,Domestic Common Stock,Industrials,Specialty Business Services,2750,Manufacturing,Commercial Printing,Business Services,USD,New York; U.S.A,d7b33c16e6a9f4bb0f303bbec980632b,AMERICANBANKNOTECORP
AMERICAN BUSINESS PRODUCTS INC,ABP1,4672,024763104,NYSE,True,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2670,Manufacturing,Converted Paper & Paperboard Prods (No Contaners/Boxes),Business Supplies,USD,Georgia; U.S.A,63269617d71bd826410a320cfe59536e,AMERICANBUSINESSPRODUCTSINC
ARBOR REALTY TRUST INC,ABR,1253986,038923108 038923908 038923958,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,New York; U.S.A,0236b4d7735ae5b548ef94c4e44d8ffe,ARBORREALTYTRUSTINC
ALBERTSONS INC,ABS,3333,013104104,NYSE,True,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,Retail,USD,Idaho; U.S.A,3d7f30d9a6499a03281ee62201da7dc0,ALBERTSONSINC
ABBOTT LABORATORIES,ABT,1800,002824100,NYSE,False,Domestic Common Stock,Healthcare,Medical Devices,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,USD,Illinois; U.S.A,faef3811eb6b5940ed287e7e7263e1c2,ABBOTTLABORATORIES
ABOVENET INC,ABVT,1043533,00374N107,NYSE,True,Domestic Common Stock,Communication Services,Telecom Services,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,Communication,USD,New York; U.S.A,ed94c6bdbb8f043d4fc6faaab5d00c3e,ABOVENETINC
BOWATER INC,ABWTQ,743368,102183100 003687100 102183407,NYSE,True,Domestic Common Stock,Basic Materials,Paper & Paper Products,2621,Manufacturing,Paper Mills,Business Supplies,USD,South Carolina; U.S.A,390cce268687a9b790e9ba861c949a7a,BOWATERINC
ABACUS GLOBAL MANAGEMENT INC,ABX,1814287,00258Y104 274681105,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Life,6282,Finance Insurance And Real Estate,Investment Advice,Trading,USD,Florida; U.S.A,98d8dac262a0f005a62d91ed373bf908,ABACUSGLOBALMANAGEMENTINC
ABITIBI CONSOLIDATED INC,ABY1,1039778,003924107,NYSE,True,ADR Common Stock,Basic Materials,Paper & Paper Products,2621,Manufacturing,Paper Mills,Business Supplies,CAD,Canada,af1a6e19bbe732b42e09c67214339e1a,ABITIBICONSOLIDATEDINC
ARCOSA INC,ACA,1739445,039653100,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,3440,Manufacturing,Fabricated Structural Metal Products,Construction Materials,USD,Texas; U.S.A,5a84bca715dad9550ebc8bfae58313ce,ARCOSAINC
DEAN FOODS CO,DF1,27500,242361103,NYSE,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2020,Manufacturing,Dairy Products,Food Products,USD,Texas; U.S.A,38c51545f3f4ffc81e8192ff64c1e4fb,DEANFOODSCO
ATHENA CONSUMER ACQUISITION CORP,ACAQ,1869141,04684M106,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,58a3bcd90947c7f58b30a5af63a27bee,ATHENACONSUMERACQUISITIONCORP
AMERICAN CAMPUS COMMUNITIES INC,ACC,1283630,024835100,NYSE,True,Domestic Common Stock,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,Texas; U.S.A,8e1704f9a76bedf13f6dd8ab957615a8,AMERICANCAMPUSCOMMUNITIESINC
ACCO BRANDS CORP,ACCO,712034,00081T108 00081T908 00081t108,NYSE,False,Domestic Common Stock,Industrials,Business Equipment & Supplies,2780,Manufacturing,Blankbooks Looseleaf Binders & Bookbindg & Relatd Work,Printing and Publishing,USD,Illinois; U.S.A,eaa706939c7ae818b792d08164f1870b,ACCOBRANDSCORP
ACCESS NEWSWIRE INC,ACCS,843006,46520M204 255908402 255908105 46520M105,NYSEMKT,False,Domestic Common Stock,Technology,Software - Application,2750,Manufacturing,Commercial Printing,Business Services,USD,North Carolina; U.S.A,2a2021d6ed5a798c08517d1f78432a67,ACCESSNEWSWIREINC
ASCENDANT DIGITAL ACQUISITION CORP III,ACDI,1850316,G05157105,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,47df62e9e4060d90aaee51d01187ec9e,ASCENDANTDIGITALACQUISITIONCORPIII
ACCEL ENTERTAINMENT INC,ACEL,1698991,00436Q106 00436Q906 00436q106 G89827102 G89827128,NYSE,False,Domestic Common Stock Primary Class,Consumer Cyclical,Gambling,7900,Services,Services-Amusement & Recreation Services,Entertainment,USD,Illinois; U.S.A,4e6ed9bbf4a0b281549aed325bd0d912,ACCELENTERTAINMENTINC
ASSOCIATED CAPITAL GROUP INC,ACGP,1642122,045528106,NYSE,True,Domestic Common Stock,Financial Services,Asset Management,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,Trading,USD,New York; U.S.A,ca5a5d04f23c3737ae1e785d46870be4,ASSOCIATEDCAPITALGROUPINC
CONSORCIO G GRUPO DINA SA DE CV,DIN1,893188,210306106 210306403,NYSE,True,ADR Common Stock Primary Class,,,,,,,USD,,47396fff54837855c38bcc7ec6e3a399,CONSORCIOGGRUPODINASADECV
ACCENDRA HEALTH INC,ACH,75252,690732102 690732902,NYSE,False,Domestic Common Stock,Healthcare,Medical Distribution,5047,Wholesale Trade,Wholesale-Medical Dental & Hospital Equipment & Supplies,Wholesale,USD,Virginia; U.S.A,91f8c5bda3541dc1481698230ca47744,ACCENDRAHEALTHINC
ALUMINUM CORP OF CHINA LTD,ACHHY,1161611,022276109,NYSE,True,ADR Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,Steel Works Etc,CNY,China,bb2ff0a53a0b5cbd20b132ebcb45a503,ALUMINUMCORPOFCHINALTD
ARCHER AVIATION INC,ACHR,1824502,03945R102 03945R902 03945R952 049284102,NYSE,False,Domestic Common Stock Primary Class,Industrials,Aerospace & Defense,3721,Manufacturing,Aircraft,Aircraft,USD,California; U.S.A,67ee5492240471cd16a7f940d6d2801c,ARCHERAVIATIONINC
ALBERTSONS COMPANIES INC,ACI,1646972,013091103,NYSE,False,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,Retail,USD,Idaho; U.S.A,d5ce4f9de60b58178604f5ecfd790a31,ALBERTSONSCOMPANIESINC
ATLAS CREST INVESTMENT CORP II,ACII1,1838614,049287105,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,aa1f0c540aa546a054c05f5c6df50595,ATLASCRESTINVESTMENTCORPII
ARCH COAL INC,ACIIQ,1037676,039380100 039380308,NYSE,True,Domestic Common Stock,Basic Materials,Thermal Coal,1221,Mining,Bituminous Coal & Lignite Surface Mining,Coal,USD,Missouri; U.S.A,6fe52add5bad725d3ccc34cec2cb6987,ARCHCOALINC
ARMSTRONG HOLDINGS INC,ACKHQ,1109304,042384107 042476101,NYSE,True,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,Rubber and Plastic Products,USD,Pennsylvania; U.S.A,6f4707038553dd49e53bd8af44b613d6,ARMSTRONGHOLDINGSINC
ALCON INC,ACL,1167379,H01301102,NYSE,True,ADR Common Stock,Healthcare,Medical Instruments & Supplies,3851,Manufacturing,Ophthalmic Goods,Medical Equipment,USD,Texas; U.S.A,54106b5e1527cba5d2ab53f8a580126d,ALCONINC
AECOM,ACM,868857,00766T100 00766T900 00766T950 00766t100,NYSE,False,Domestic Common Stock,Industrials,Engineering & Construction,8711,Services,Services-Engineering Services,Business Services,USD,California; U.S.A,af33036fcb557bb7c9fbde35f6ebdea9,AECOM
ACCENTURE PLC,ACN,1467373,G1150G111 G1151C101 G1151c101 g1151c101,NYSE,False,Domestic Common Stock,Technology,Information Technology Services,7389,Services,Services-Business Services Nec,Business Services,USD,Ireland,06476756f6d77493304913a37cb0af04,ACCENTUREPLC
ACUSON CORP,ACN1,717014,005113105,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Devices,3845,Manufacturing,Electromedical & Electrotherapeutic Apparatus,Medical Equipment,USD,California; U.S.A,b1d0ca79e1ddc3015962091c7bc1a757,ACUSONCORP
AMERICAN COMMUNITY NEWSPAPERS INC,ACNI,1321544,02520T103 22274N102 22274N201 02520T202,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Publishing,2711,Manufacturing,Newspapers: Publishing Or Publishing & Printing,Printing and Publishing,USD,Texas; U.S.A,45a86c65f44ff23a544e71737e851a23,AMERICANCOMMUNITYNEWSPAPERSINC
AMCOL INTERNATIONAL CORP,ACO,813621,02341W103,NYSE,True,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),Non-Metallic and Industrial Metal Mining,USD,Illinois; U.S.A,9ba4504e45f9d715c79258fbce7983a1,AMCOLINTERNATIONALCORP
ACRES COMMERCIAL REALTY CORP,ACR,1332551,76120W302 30068N105 76120W708 00489Q102,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,New York; U.S.A,6895707ceb1564b906cf6a0e51f3ec91,ACRESCOMMERCIALREALTYCORP
AMERICAN RETIREMENT CORP,ACR1,787784,028913101,NYSE,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8051,Services,Services-Skilled Nursing Care Facilities,Healthcare,USD,Tennessee; U.S.A,116704eee67584b461b95cfdb6c40488,AMERICANRETIREMENTCORP
ARES COMMERCIAL REAL ESTATE CORP,ACRE,1529377,04013V108,NYSE,False,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,USD,New York; U.S.A,bfbae436f33eafaecd22de3e5130947c,ARESCOMMERCIALREALESTATECORP
ACROPOLIS INFRASTRUCTURE ACQUISITION CORP,ACRO,1847891,005029103,NYSE,True,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,Trading,USD,New York; U.S.A,0d5f28f2214a97bb430e75115da949e6,ACROPOLISINFRASTRUCTUREACQUISITIONCORP
AFFILIATED COMPUTER SERVICES INC,ACS,2135,008190100,NYSE,True,Domestic Common Stock,Technology,Software - Application,7374,Services,Services-Computer Processing & Data Preparation,Business Services,USD,Texas; U.S.A,d408ba1938ec531a45eb62676690f90d,AFFILIATEDCOMPUTERSERVICESINC
