ticker,year,quarter,outstanding_shares,quarter_end_price
A,2024,Q1,293055284,145.51
A,2024,Q2,291760872,129.63
A,2024,Q3,287327671,148.48
A,2024,Q4,285595302,134.34
A,2025,Q1,285102717,116.98
A,2025,Q2,284064728,118.01
A,2025,Q3,283500427,128.35
A,2025,Q4,283498871,136.07
A,2026,Q1,282602317,113.98
AA,2024,Q1,179559688,33.79
AA,2024,Q2,258340140,39.78
AA,2024,Q3,258354828,38.58
AA,2024,Q4,258884337,37.78
AA,2025,Q1,258902338,30.5
AA,2025,Q2,258914723,29.51
AA,2025,Q3,258964032,32.89
AA,2025,Q4,263839742,53.14
AACBU,2025,Q1,23650000,10.11
AACG,2025,Q4,63912442,
AACIU,2025,Q3,23710000,10.43
AACIU,2025,Q4,23710000,10.24
AACT,2024,Q1,50000000,
AACT,2024,Q2,50000000,10.67
AACT,2024,Q3,50000000,10.83
AACT,2024,Q4,50000000,10.98
AACT,2025,Q1,61859712,11.15
AACT.U,2025,Q3,181207392,
AACT.U,2025,Q4,182555384,
AAL,2024,Q1,656090344,15.35
AAL,2024,Q2,656703913,11.33
AAL,2024,Q3,657130996,11.24
AAL,2024,Q4,657575582,17.43
AAL,2025,Q1,659512341,10.55
AAL,2025,Q2,659828821,11.22
AAL,2025,Q3,660086495,11.24
AAL,2025,Q4,660304573,15.33
AAL,2026,Q1,661385137,10.74
AAM,2024,Q1,8625000,
AAM,2024,Q2,43974000,
AAM,2024,Q3,43974000,10.02
AAM,2024,Q4,35349000,10.1
AAM,2025,Q1,43974000,10.43
AAM,2025,Q3,43970000,
AAM.U,2025,Q3,43974000,
AAME,2024,Q2,20399758,1.69
AAME,2024,Q3,20399758,1.7
AAME,2024,Q4,20399758,1.5
AAME,2025,Q1,20397228,1.7
AAME,2025,Q2,20397228,2.13
AAME,2025,Q3,20397228,2.88
AAMI,2024,Q1,38000000,22.84
AAMI,2024,Q2,37100000,22.17
AAMI,2024,Q3,37300000,25.4
AAMI,2024,Q4,37500000,26.34
AAMI,2025,Q1,36700000,25.86
AAMI,2025,Q2,35811913,35.24
AAMI,2025,Q3,35709120,48.16
AAMI,2025,Q4,35722568,47.0
AAOI,2024,Q2,40895715,8.29
AAOI,2024,Q3,45078203,14.31
AAOI,2024,Q4,49651482,36.86
AAOI,2025,Q1,55544354,15.35
AAOI,2025,Q2,62353846,25.69
AAOI,2025,Q3,68278417,25.93
AAOI,2025,Q4,75198817,34.86
AAON,2024,Q1,82209281,88.1
AAON,2024,Q2,81013148,87.24
AAON,2024,Q3,81279625,107.84
